#[%Y%m%d%H%M%S UTC]	[active valve]	[state]	[0 = startup | 1 = manual | 2 = timeout | 3 = optimal | 4 = alert]
timestamp	ID	measurement	switchCode
20210327230456	f	0	0
20210327230508	A	0	1
20210327230741	A	1	1
20210327231742	A2	0	2
20210327232242	A2	1	2
20210327233243	B	0	2
20210327233743	B	1	2
20210327234530	C	0	2
20210327235032	C	1	2
20210327235102	D	0	2
20210327235602	D	1	2
20210327235858	E	0	2
20210328000359	E	1	2
20210328000813	F	0	2
20210328001314	F	1	2
20210328002315	G	0	2
20210328002816	G	1	2
20210328003816	H	0	2
20210328004317	H	1	2
20210328004732	G	0	2
20210328005232	G	1	2
20210328010233	F	0	2
20210328010734	F	1	2
20210328011734	E	0	2
20210328012235	E	1	2
20210328012737	D	0	2
20210328013238	D	1	2
20210328013917	C	0	2
20210328014417	C	1	2
20210328014848	B	0	2
20210328015349	B	1	2
20210328015705	A	0	2
20210328020206	A	1	2
20210328020236	A2	0	2
20210328020737	A2	1	2
20210328020808	B	0	2
20210328021308	B	1	2
20210328021426	C	0	2
20210328021927	C	1	2
20210328021958	D	0	2
20210328022459	D	1	2
20210328022530	E	0	2
20210328023031	E	1	2
20210328023442	F	0	2
20210328023943	F	1	2
20210328024014	G	0	2
20210328024515	G	1	2
20210328025423	H	0	2
20210328025924	H	1	2
20210328030707	G	0	2
20210328031208	G	1	2
20210328031240	F	0	2
20210328031740	F	1	2
20210328031811	E	0	2
20210328032312	E	1	2
20210328032404	D	0	2
20210328032905	D	1	2
20210328032936	C	0	2
20210328033437	C	1	2
20210328033801	B	0	2
20210328034301	B	1	2
20210328034725	A	0	2
20210328035225	A	1	2
20210328035257	A2	0	2
20210328035758	A2	1	2
20210328035852	B	0	2
20210328040353	B	1	2
20210328040424	C	0	2
20210328040924	C	1	2
20210328041321	D	0	2
20210328041822	D	1	2
20210328042327	E	0	2
20210328042827	E	1	2
20210328043214	F	0	2
20210328043714	F	1	2
20210328044040	G	0	2
20210328044541	G	1	2
20210328045031	H	0	2
20210328045531	H	1	2
20210328045603	G	0	2
20210328050103	G	1	2
20210328051103	F	0	2
20210328051604	F	1	2
20210328052003	E	0	2
20210328052504	E	1	2
20210328052955	D	0	2
20210328053455	D	1	2
20210328053800	C	0	2
20210328054301	C	1	2
20210328054332	B	0	2
20210328054833	B	1	2
20210328055213	A	0	2
20210328055713	A	1	2
20210328060006	A2	0	2
20210328060506	A2	1	2
20210328061344	B	0	2
20210328061845	B	1	2
20210328062231	C	0	2
20210328062732	C	1	2
20210328062949	D	0	2
20210328063450	D	1	2
20210328064011	E	0	2
20210328064512	E	1	2
20210328064736	F	0	2
20210328065236	F	1	2
20210328065633	G	0	2
20210328070133	G	1	2
20210328070528	H	0	2
20210328071029	H	1	2
20210328071655	G	0	2
20210328072156	G	1	2
20210328072233	F	0	2
20210328072734	F	1	2
20210328073024	E	0	2
20210328073524	E	1	2
20210328074433	D	0	2
20210328074934	D	1	2
20210328075935	C	0	2
20210328080436	C	1	2
20210328080508	B	0	2
20210328081008	B	1	2
20210328082008	A	0	2
20210328082509	A	1	2
20210328082939	A2	0	2
